"ホスト名","タスク名","次回の実行時刻","状態","ログオン モード","前回の実行時刻","前回の結果","作成者","実行するタスク","開始","コメント","スケジュールされたタスクの状態","アイドル時間","電源管理","ユーザーとして実行","再度スケジュールされない場合はタスクを削除する","タスクを停止するまでの時間","スケジュール","スケジュールの種類","開始時刻","開始日","終了日","日","月","繰り返し: 間隔","繰り返し: 終了時刻","繰り返し: 期間","繰り返し: 実行中の場合は停止"
"DESKTOP-VQ7MEB2","\Adobe Acrobat Update Task","2025/07/26 16:00:00","準備完了","対話型/バックグラウンド","2025/07/25 18:50:35","0","Adobe Systems Incorporated","C:\Program Files (x86)\Common Files\Adobe\ARM\1.0\AdobeARM.exe ","N/A","This task keeps your Adobe Reader and Acrobat applications up to date with the latest enhancements and security fixes","有効","無効","バッテリ モードで停止, バッテリで開始しない","INTERACTIVE","無効","72:00:00","スケジュール データをこの形式で使用することはできません。","ログオン時","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DESKTOP-VQ7MEB2","\Adobe Acrobat Update Task","2025/07/26 16:00:00","準備完了","対話型/バックグラウンド","2025/07/25 18:50:35","0","Adobe Systems Incorporated","C:\Program Files (x86)\Common Files\Adobe\ARM\1.0\AdobeARM.exe ","N/A","This task keeps your Adobe Reader and Acrobat applications up to date with the latest enhancements and security fixes","有効","無効","バッテリ モードで停止, バッテリで開始しない","INTERACTIVE","無効","72:00:00","スケジュール データをこの形式で使用することはできません。","毎日 ","16:00:00","2013/01/01","2027/05/02","1 日ごと","N/A","無効","無効","無効","無効"
"DESKTOP-VQ7MEB2","\BlueStacksHelper_nxt","2025/07/25 23:27:27","準備完了","対話型のみ","2025/07/25 17:27:28","0","N/A","C:\Program Files\BlueStacks_nxt\BlueStacksHelper.exe -sr","N/A","BlueStacks Helper","有効","無効","","User","無効","72:00:00","スケジュール データをこの形式で使用することはできません。","一度だけ, 毎時 ","23:27:27","2023/03/17","N/A","N/A","N/A","6 時間、0 分","なし","無効","無効"
"DESKTOP-VQ7MEB2","\nWizard_{B2FE1952-0186-46C3-BAEC-A80AA35AC5B8}","N/A","準備完了","対話型/バックグラウンド","2025/07/25 8:08:34","-2147024894","NVIDIA Corporation","C:\Program Files\NVIDIA Corporation\nview\nwiz.exe /installquiet","C:\Program Files\NVIDIA Corporation\nview","NVIDIA NView Wizard","有効","無効","","Users","無効","72:00:00","スケジュール データをこの形式で使用することはできません。","ログオン時","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DESKTOP-VQ7MEB2","\OneDrive Per-Machine Standalone Update Task","2025/07/26 17:05:34","準備完了","対話型/バックグラウンド","2025/07/25 17:05:18","-2147160572","Microsoft Corporation","C:\Program Files\Microsoft OneDrive\OneDriveStandaloneUpdater.exe ","N/A","N/A","有効","無効","バッテリ モードで停止","SYSTEM","無効","24:00:00","スケジュール データをこの形式で使用することはできません。","一度だけ, 毎時 ","14:00:00","1992/05/01","N/A","N/A","N/A","24 時間、0 分","なし","無効","無効"
"DESKTOP-VQ7MEB2","\OneDrive Reporting Task-S-1-5-21-3284326709-2639260298-2275112414-1001","2025/07/26 15:20:59","準備完了","対話型のみ","2025/07/25 15:21:00","0","Microsoft Corporation","C:\Program Files\Microsoft OneDrive\OneDriveStandaloneUpdater.exe /reporting","N/A","N/A","有効","無効","バッテリ モードで停止","User","無効","02:00:00","スケジュール データをこの形式で使用することはできません。","一度だけ, 毎時 ","15:20:59","2025/07/22","N/A","N/A","N/A","24 時間、0 分","なし","無効","無効"
"DESKTOP-VQ7MEB2","\OneDrive Startup Task-S-1-5-21-3284326709-2639260298-2275112414-1001","N/A","準備完了","対話型のみ","2025/07/25 8:18:34","0","Microsoft Corporation","C:\Program Files\Microsoft OneDrive\25.127.0701.0006\OneDriveLauncher.exe /startInstances","N/A","N/A","有効","無効","バッテリ モードで停止","User","無効","02:00:00","スケジュール データをこの形式で使用することはできません。","ログオン時","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DESKTOP-VQ7MEB2","\RtkAudUService64_BG","N/A","実行中","対話型/バックグラウンド","2025/07/25 8:09:06","267009","Realtek","""C:\WINDOWS\System32\DriverStore\FileRepository\realtekservice.inf_amd64_7de98da61391430f\RtkAudUService64.exe"" -background","N/A","N/A","有効","無効","","Users","無効","無効","スケジュール データをこの形式で使用することはできません。","ログオン時","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"ホスト名","タスク名","次回の実行時刻","状態","ログオン モード","前回の実行時刻","前回の結果","作成者","実行するタスク","開始","コメント","スケジュールされたタスクの状態","アイドル時間","電源管理","ユーザーとして実行","再度スケジュールされない場合はタスクを削除する","タスクを停止するまでの時間","スケジュール","スケジュールの種類","開始時刻","開始日","終了日","日","月","繰り返し: 間隔","繰り返し: 終了時刻","繰り返し: 期間","繰り返し: 実行中の場合は停止"
"DESKTOP-VQ7MEB2","\Agent Activation Runtime\S-1-5-21-3284326709-2639260298-2275112414-1001","N/A","無効","対話型のみ","1999/11/30 0:00:00","267011","Microsoft Corporation","C:\WINDOWS\System32\AgentActivationRuntimeStarter.exe ","N/A","N/A","無効","無効","","User","無効","72:00:00","スケジュール データをこの形式で使用することはできません。","ログオン時","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"ホスト名","タスク名","次回の実行時刻","状態","ログオン モード","前回の実行時刻","前回の結果","作成者","実行するタスク","開始","コメント","スケジュールされたタスクの状態","アイドル時間","電源管理","ユーザーとして実行","再度スケジュールされない場合はタスクを削除する","タスクを停止するまでの時間","スケジュール","スケジュールの種類","開始時刻","開始日","終了日","日","月","繰り返し: 間隔","繰り返し: 終了時刻","繰り返し: 期間","繰り返し: 実行中の場合は停止"
"ホスト名","タスク名","次回の実行時刻","状態","ログオン モード","前回の実行時刻","前回の結果","作成者","実行するタスク","開始","コメント","スケジュールされたタスクの状態","アイドル時間","電源管理","ユーザーとして実行","再度スケジュールされない場合はタスクを削除する","タスクを停止するまでの時間","スケジュール","スケジュールの種類","開始時刻","開始日","終了日","日","月","繰り返し: 間隔","繰り返し: 終了時刻","繰り返し: 期間","繰り返し: 実行中の場合は停止"
"ホスト名","タスク名","次回の実行時刻","状態","ログオン モード","前回の実行時刻","前回の結果","作成者","実行するタスク","開始","コメント","スケジュールされたタスクの状態","アイドル時間","電源管理","ユーザーとして実行","再度スケジュールされない場合はタスクを削除する","タスクを停止するまでの時間","スケジュール","スケジュールの種類","開始時刻","開始日","終了日","日","月","繰り返し: 間隔","繰り返し: 終了時刻","繰り返し: 期間","繰り返し: 実行中の場合は停止"
"ホスト名","タスク名","次回の実行時刻","状態","ログオン モード","前回の実行時刻","前回の結果","作成者","実行するタスク","開始","コメント","スケジュールされたタスクの状態","アイドル時間","電源管理","ユーザーとして実行","再度スケジュールされない場合はタスクを削除する","タスクを停止するまでの時間","スケジュール","スケジュールの種類","開始時刻","開始日","終了日","日","月","繰り返し: 間隔","繰り返し: 終了時刻","繰り返し: 期間","繰り返し: 実行中の場合は停止"
"DESKTOP-VQ7MEB2","\Lenovo\Lenovo Service Bridge\S-1-5-21-3284326709-2639260298-2275112414-1001","N/A","準備完了","対話型のみ","2025/07/25 20:13:35","0","Lenovo",""C:\Users\User\AppData\Local\Programs\Lenovo\Lenovo Service Bridge\LSBUpdater.exe" ","N/A","This program enables Lenovo's support website to automatically detect your computer's serial number and model.","有効","無効","","User","無効","無効","スケジュール データをこの形式で使用することはできません。","ログオン時","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"ホスト名","タスク名","次回の実行時刻","状態","ログオン モード","前回の実行時刻","前回の結果","作成者","実行するタスク","開始","コメント","スケジュールされたタスクの状態","アイドル時間","電源管理","ユーザーとして実行","再度スケジュールされない場合はタスクを削除する","タスクを停止するまでの時間","スケジュール","スケジュールの種類","開始時刻","開始日","終了日","日","月","繰り返し: 間隔","繰り返し: 終了時刻","繰り返し: 期間","繰り返し: 実行中の場合は停止"
"DESKTOP-VQ7MEB2","\Lenovo\Power Manager\Background monitor","N/A","実行中","対話型/バックグラウンド","2025/07/25 8:47:06","267009","N/A",""C:\WINDOWS\SysWOW64\Lenovo\PowerMgr\PowerMgr.exe" ","N/A","Learn your computer power status and battery health information. Configure power settings to get the most out of your battery.","有効","無効","","Users","無効","無効","スケジュール データをこの形式で使用することはできません。","ログオン時","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"ホスト名","タスク名","次回の実行時刻","状態","ログオン モード","前回の実行時刻","前回の結果","作成者","実行するタスク","開始","コメント","スケジュールされたタスクの状態","アイドル時間","電源管理","ユーザーとして実行","再度スケジュールされない場合はタスクを削除する","タスクを停止するまでの時間","スケジュール","スケジュールの種類","開始時刻","開始日","終了日","日","月","繰り返し: 間隔","繰り返し: 終了時刻","繰り返し: 期間","繰り返し: 実行中の場合は停止"
"ホスト名","タスク名","次回の実行時刻","状態","ログオン モード","前回の実行時刻","前回の結果","作成者","実行するタスク","開始","コメント","スケジュールされたタスクの状態","アイドル時間","電源管理","ユーザーとして実行","再度スケジュールされない場合はタスクを削除する","タスクを停止するまでの時間","スケジュール","スケジュールの種類","開始時刻","開始日","終了日","日","月","繰り返し: 間隔","繰り返し: 終了時刻","繰り返し: 期間","繰り返し: 実行中の場合は停止"
